date	name	DIC	TA	pH_measured	Sal	pHNBS_predicted	HCO3	CO3	CO2	Aragonite
2022-02-04	Control	2059	2213	8.074365048713426	33.3	8.035	1921.7	116.9	20.5	1.81
2022-02-05	Control	2074	2204	8.08828035477241	32.9	7.979	1947.2	103.1	23.7	1.6
2022-02-07	Control	1994	2110	8.062306838742852	33.1	7.947	1876.7	92.8	24.5	1.44
2022-02-09	Control	2020	2114	8.068756592546231	33.3	7.879	1909.7	81.2	29.1	1.26
2022-02-17	Control	2077	2242	8.06041057909981	33.3	8.058	1933.4	124.1	19.5	1.92
2022-02-04	Experimental I	1741	1908	7.47	33.1	8.108	1611	115.5	14.5	1.79
2022-02-05	Experimental I	1717	1874	7.45	33.4	8.083	1593.3	108.5	15.2	1.68
2022-02-07	Experimental I	2003	2021	7.38	33.3	7.627	1905.8	45.4	51.8	0.7
2022-02-09	Experimental I	2020	2024	7.38	33.3	7.577	1920.6	40.7	58.6	0.63
2022-02-17	Experimental I	2178	2222	7.548	33.3	7.715	2071.6	60.4	46	0.93
2022-02-04	Experimental II	1885	2205	7.68	33.1	8.375	1657.3	219.6	8.1	3.4
2022-02-05	Experimental II	2001	2105	7.71	32.9	7.915	1888.1	86.3	26.6	1.34
2022-02-07	Experimental II	2115	2107	7.57	33.1	7.54	2009.1	38.9	66.9	0.6
2022-02-09	Experimental II	2087	2124	7.46	33.1	7.696	1985.7	55.1	46.2	0.85
2022-02-17	Experimental II	2156	2249	7.626	33.4	7.865	2039.8	84.2	32	1.3
